latitude,longitude,species,H5N1,H5N2,H7N2,H7N8,timestamp,provenance,new_timestamp
47.732901,10.229212,European Robin,0,0,0,1,5.09.6333,Wild,5.09.2016
47.453545,6.926627,Chicken,1,0,0,0,10.01.6634,Livestock,10.01.2016
46.256958,7.407655,Goose,0,0,0,1,13.03.6233,Livestock,13.03.2016
46.723303,7.684445,Blackbird,1,0,0,0,8.03.6955,Wild,8.03.2016
46.874149,9.344231,House Sparrow,0,0,0,1,28.05.6825,Wild,28.05.2016
46.143891,9.048166,Eurasian Blue Tit,0,0,0,0,21.08.7118,Wild,21.08.2017
47.585991,6.49984,Eurasian Magpie,0,1,0,0,28.11.6954,Wild,28.11.2016
46.249039,9.224151,Common Chaffinch,0,0,1,0,16.08.6413,Wild,16.08.2016
46.547236,10.344829,House Sparrow,0,0,0,1,3.09.6192,Wild,3.09.2016
46.363769,10.081465,Goose,1,0,0,0,9.09.5985,Livestock,9.09.2015
46.011471,10.29615,Chicken,0,1,0,0,10.08.6830,Livestock,10.08.2016
47.373748,7.606055,Turkey,0,0,,,26.05.6238,Livestock,26.05.2016
46.501221,8.270786,Duck,1,0,0,0,16.01.7106,Livestock,16.01.2017
46.009826,10.255032,Chicken,0,,0,0,29.01.7233,Livestock,29.01.2017
46.039595,8.86536,Blackbird,0,1,0,0,1.12.7190,Wild,1.12.2017
46.058292,7.151708,Turkey,0,0,1,0,14.10.6829,Livestock,14.10.2016
47.614532,6.962906,Duck,0,0,,,29.10.6044,Livestock,29.10.2016
46.60815,8.08277,House Sparrow,,0,,,30.03.6924,Wild,30.03.2016
47.343202,7.335421,Common Chaffinch,0,1,0,0,26.03.6898,Wild,26.03.2016
47.706062,6.410984,House Sparrow,0,1,0,0,8.02.6701,Wild,8.02.2016
46.460529,8.984088,Eurasian Blue Tit,1,0,0,0,20.09.6578,Wild,20.09.2016
46.255323,10.144324,Great Tit,0,0,1,0,22.02.7297,Wild,22.02.2017
46.611544,7.206224,Turkey,0,0,0,,31.03.6012,Livestock,31.03.2016
45.926599,9.765948,House Sparrow,,0,,0,20.06.7309,Wild,20.06.2017
47.722408,6.401289,Eurasian Magpie,,0,0,,3.10.6564,Wild,3.10.2016
46.352493,9.668344,Turkey,0,1,0,0,19.09.6647,Livestock,19.09.2016
47.048357,6.400774,Duck,,,,,25.11.6016,Livestock,25.11.2016
47.319225,8.871524,Blackbird,0,0,1,0,21.12.6034,Wild,21.12.2016
47.656014,8.778051,Eurasian Magpie,0,0,1,0,1.05.6712,Wild,1.05.2016
47.729144,9.147149,Eurasian Magpie,0,,0,,27.10.5972,Wild,27.10.2015
47.614852,9.803677,House Sparrow,0,0,1,0,15.03.7030,Wild,15.03.2017
47.577984,8.90441,Chicken,,,,,24.07.6654,Livestock,24.07.2016
47.774826,8.003225,Turkey,0,0,0,1,13.03.7122,Livestock,13.03.2017
46.314478,6.412311,Blackbird,1,0,0,0,31.12.6486,Wild,31.12.2016
46.774417,7.700617,Turkey,0,0,1,0,24.01.6761,Livestock,24.01.2016
46.372997,8.826206,Goose,0,0,0,1,2.06.7320,Livestock,2.06.2017
46.588635,7.618805,Common Chaffinch,0,0,1,0,18.11.6128,Wild,18.11.2016
47.347567,7.417616,Blackbird,0,1,0,0,8.08.6220,Wild,8.08.2016
46.852556,7.091347,Eurasian Blue Tit,0,0,0,1,10.12.7009,Wild,10.12.2017
47.794722,9.080614,Barn Swallow,0,1,0,0,5.01.7192,Wild,5.01.2017
46.739875,7.849609,Goose,0,1,0,0,20.01.7086,Livestock,20.01.2017
46.875746,9.340993,Common Chaffinch,0,0,,0,22.03.6918,Wild,22.03.2016
46.111197,7.974412,Common Chaffinch,0,0,0,1,8.10.7105,Wild,8.10.2017
47.644964,7.646843,Goose,0,0,0,1,4.11.7382,Livestock,4.11.2017
47.66704,9.408363,Turkey,,,,0,21.09.7398,Livestock,21.09.2017
46.871107,7.889424,Goose,0,0,1,0,10.05.6718,Livestock,10.05.2016
47.492191,9.363082,Blackbird,0,0,1,0,31.10.6513,Wild,31.10.2016
45.992698,8.894615,European Robin,0,0,0,1,2.09.7150,Wild,2.09.2017
47.008782,8.000649,Great Tit,0,0,0,1,30.12.6532,Wild,30.12.2016
46.708994,8.708859,Goose,0,0,0,1,28.08.6632,Livestock,28.08.2016
47.280388,9.466444,Eurasian Magpie,0,0,1,0,18.12.6477,Wild,18.12.2016
46.126816,9.702647,Goose,0,1,0,0,28.06.6800,Livestock,28.06.2016
47.308207,10.135499,Blackbird,1,0,0,0,25.07.6631,Wild,25.07.2016
47.674588,6.625177,Goose,,0,0,,23.10.6976,Livestock,23.10.2016
47.780392,8.536969,Common Chaffinch,0,1,0,0,26.04.6755,Wild,26.04.2016
47.431066,6.290394,Eurasian Blue Tit,0,0,1,0,13.02.6330,Wild,13.02.2016
46.411597,9.646063,Duck,0,0,0,1,20.06.6443,Livestock,20.06.2016
46.344845,6.820746,Duck,,0,0,,23.06.6351,Livestock,23.06.2016
46.012317,7.164609,Eurasian Blue Tit,0,0,0,0,4.11.6375,Wild,4.11.2016
47.058605,9.78693,Barn Swallow,0,1,0,0,24.01.6761,Wild,24.01.2016
47.486904,8.688707,Duck,1,0,0,0,24.04.7293,Livestock,24.04.2017
46.971121,6.815129,Blackbird,1,0,0,0,9.09.6500,Wild,9.09.2016
46.371988,7.83436,Goose,0,0,0,0,23.02.7156,Livestock,23.02.2017
47.663126,6.768503,Chicken,0,,,,7.04.6087,Livestock,7.04.2016
45.821233,8.108165,Chicken,,0,,,14.04.7051,Livestock,14.04.2017
46.225664,5.982252,Turkey,0,0,1,0,18.11.7017,Livestock,18.11.2017
46.761067,8.41108,Goose,0,0,1,0,19.03.6518,Livestock,19.03.2016
46.3805,8.574718,Common Chaffinch,0,0,0,1,16.11.6384,Wild,16.11.2016
46.631825,9.883657,Goose,0,0,0,1,13.08.7417,Livestock,13.08.2017
45.982977,6.847338,Turkey,0,0,1,0,7.04.7327,Livestock,7.04.2017
45.947135,6.303851,Duck,0,0,1,0,26.06.6915,Livestock,26.06.2016
46.581732,7.851925,Great Tit,0,0,0,1,14.01.6801,Wild,14.01.2016
46.254127,9.765455,Barn Swallow,0,0,0,1,26.04.6732,Wild,26.04.2016
45.914218,5.977358,Common Chaffinch,0,0,0,1,2.11.7146,Wild,2.11.2017
46.65036,8.706119,Blackbird,0,0,1,0,11.01.6775,Wild,11.01.2016
47.724228,9.051433,Goose,,,,,27.08.6491,Livestock,27.08.2016
46.787815,9.407034,Turkey,0,1,0,0,18.09.6506,Livestock,18.09.2016
46.04829,10.453854,European Robin,0,0,0,1,15.06.6440,Wild,15.06.2016
46.319976,9.011441,Chicken,,0,,0,5.04.6484,Livestock,5.04.2016
45.951633,6.479425,European Robin,1,0,0,0,18.05.6911,Wild,18.05.2016
46.111909,10.240522,Turkey,0,0,0,1,27.06.6144,Livestock,27.06.2016
46.150705,7.285534,Blackbird,0,0,0,1,12.09.6549,Wild,12.09.2016
47.053841,8.195442,Eurasian Blue Tit,0,0,0,1,5.12.6163,Wild,5.12.2016
46.962108,6.011357,Eurasian Magpie,1,0,0,0,30.12.6227,Wild,30.12.2016
47.730055,7.90784,Blackbird,0,1,0,0,5.08.6171,Wild,5.08.2016
46.058423,9.72565,Turkey,,,,,22.03.7433,Livestock,22.03.2017
47.27202,9.029267,Duck,1,0,0,0,16.03.7007,Livestock,16.03.2017
47.164934,8.946979,Great Tit,0,0,1,0,12.06.7093,Wild,12.06.2017
46.106129,7.224926,European Robin,1,0,0,0,17.03.6236,Wild,17.03.2016
46.929699,6.019586,Eurasian Magpie,0,0,0,1,15.05.6465,Wild,15.05.2016
47.722368,10.012412,Great Tit,0,0,1,0,1.01.7166,Wild,1.01.2017
47.043692,8.497222,Chicken,0,0,1,0,16.04.7310,Livestock,16.04.2017
46.783219,8.586601,Eurasian Magpie,0,1,0,0,26.10.7071,Wild,26.10.2017
46.607681,6.4331,Blackbird,0,0,0,,15.04.6982,Wild,15.04.2016
47.076959,10.062709,Goose,0,0,1,0,2.04.7160,Livestock,2.04.2017
47.27749,8.094317,Duck,0,0,0,1,18.10.6714,Livestock,18.10.2016
47.263316,8.422157,Eurasian Blue Tit,,,0,0,1.06.6359,Wild,1.06.2016
46.615238,6.295681,Blackbird,0,1,0,0,17.05.6770,Wild,17.05.2016
46.35329,8.753242,Duck,0,0,0,1,30.11.7049,Livestock,30.11.2017
47.560162,9.247867,Chicken,0,0,0,1,7.02.6537,Livestock,7.02.2016
46.57032,7.79452,Chicken,,,,,12.04.7097,Livestock,12.04.2017
47.624952,6.098927,Chicken,0,0,1,0,22.05.6399,Livestock,22.05.2016
46.127538,8.969665,Chicken,,0,,,28.01.6062,Livestock,28.01.2016
46.308482,7.623093,House Sparrow,0,0,0,1,13.01.7034,Wild,13.01.2017
46.014788,9.843273,Chicken,0,1,0,0,23.11.6459,Livestock,23.11.2016
46.629634,7.392322,Goose,0,1,0,0,2.07.7177,Livestock,2.07.2017
47.727023,9.023512,Blackbird,0,0,0,1,10.08.6128,Wild,10.08.2016
45.960142,7.875878,Common Chaffinch,1,0,0,0,26.10.7071,Wild,26.10.2017
46.60559,9.770617,Barn Swallow,,,,,21.05.6773,Wild,21.05.2016
46.498432,7.043458,Barn Swallow,0,0,0,1,2.04.6294,Wild,2.04.2016
47.056966,8.743844,Common Chaffinch,0,0,0,1,21.01.6548,Wild,21.01.2016
46.206227,7.196062,Chicken,0,0,1,0,13.08.7394,Livestock,13.08.2017
47.183694,8.901654,Turkey,0,0,0,1,2.02.6557,Livestock,2.02.2016
47.335868,9.137528,Goose,0,0,1,0,19.12.6290,Livestock,19.12.2016
47.679517,8.172166,Eurasian Magpie,0,0,0,1,12.04.6044,Wild,12.04.2016
46.838872,8.895563,Goose,,,0,,20.01.6033,Livestock,20.01.2016
46.944055,6.008018,House Sparrow,,0,,0,17.02.7199,Wild,17.02.2017
46.452333,7.609994,Eurasian Magpie,0,0,,,12.11.6545,Wild,12.11.2016
46.009999,6.971878,Chicken,,,,0,6.05.7020,Livestock,6.05.2017
45.946348,9.687862,Great Tit,0,0,1,0,13.12.6356,Wild,13.12.2016
46.108434,9.876685,Eurasian Magpie,0,,0,,3.02.6019,Wild,3.02.2016
47.636389,9.39948,House Sparrow,,,,,4.08.6217,Wild,4.08.2016
46.962675,6.250042,Eurasian Magpie,0,1,0,0,17.03.6259,Wild,17.03.2016
47.691385,6.795368,Common Chaffinch,0,0,0,1,6.03.7024,Wild,6.03.2017
46.001414,9.4444,Barn Swallow,0,0,,,4.10.6751,Wild,4.10.2016
47.032791,9.42504,Chicken,,,0,0,14.05.6721,Livestock,14.05.2016
47.606371,7.375949,Duck,0,0,0,1,16.05.7144,Livestock,16.05.2017
46.943491,8.92947,Goose,0,,,0,18.05.6373,Livestock,18.05.2016
46.085181,6.168237,Duck,0,0,1,0,27.04.6007,Livestock,27.04.2016
46.848889,8.857586,Duck,1,0,0,0,23.09.7001,Livestock,23.09.2017
46.781862,8.414369,Duck,0,,0,0,15.05.7026,Livestock,15.05.2017
46.714734,6.595487,Turkey,1,0,0,0,27.06.6495,Livestock,27.06.2016
46.393792,8.961932,Chicken,0,1,0,0,29.05.6123,Livestock,29.05.2016
46.314763,8.286769,Duck,0,0,0,,16.01.6873,Livestock,16.01.2016
45.840275,6.183823,Turkey,0,0,0,1,18.01.7342,Livestock,18.01.2017
47.378251,6.849572,Duck,,0,0,0,22.03.7433,Livestock,22.03.2017
46.428557,9.136072,Duck,0,0,0,1,18.08.5993,Livestock,18.08.2015
47.372243,8.5813,Chicken,0,0,1,0,28.06.6964,Livestock,28.06.2016
46.402172,7.073578,Duck,0,1,0,0,7.01.6772,Livestock,7.01.2016
46.908503,7.858601,House Sparrow,0,0,,,22.07.7074,Wild,22.07.2017
45.899259,9.145826,Chicken,1,0,0,0,27.10.6487,Livestock,27.10.2016
45.818522,7.207696,Chicken,0,1,0,0,6.01.6631,Livestock,6.01.2016
47.477398,6.589964,Duck,0,0,0,1,22.02.6969,Livestock,22.02.2016
46.61176,7.573033,Eurasian Magpie,0,0,0,1,2.05.7017,Wild,2.05.2017
46.52446,9.59441,Duck,0,0,1,0,14.09.6339,Livestock,14.09.2016
46.511106,6.229066,Goose,,0,,,10.01.6073,Livestock,10.01.2016
46.975933,6.887143,Duck,1,0,0,0,8.09.7412,Livestock,8.09.2017
46.907598,6.258352,Chicken,1,0,0,0,20.01.6056,Livestock,20.01.2016
47.642419,10.036373,Turkey,0,0,0,0,10.04.7353,Livestock,10.04.2017
46.958455,8.764383,House Sparrow,0,,0,0,3.12.6888,Wild,3.12.2016
45.853506,9.20513,Turkey,1,0,0,0,16.01.6194,Livestock,16.01.2016
46.018808,7.875166,House Sparrow,0,,0,0,16.04.6421,Wild,16.04.2016
46.137308,9.918095,European Robin,0,0,,,2.08.7293,Wild,2.08.2017
45.96492,7.175609,Chicken,0,1,0,0,6.07.7016,Livestock,6.07.2017
47.310887,8.934515,Blackbird,1,0,0,0,20.04.6073,Wild,20.04.2016
46.615557,8.065283,Goose,1,0,0,0,19.01.6804,Livestock,19.01.2016
47.551019,8.629399,Chicken,,0,0,0,19.09.6437,Livestock,19.09.2016
46.750631,9.526965,Goose,,,,0,29.04.7319,Livestock,29.04.2017
47.533945,6.392184,Great Tit,0,1,0,0,31.12.6673,Wild,31.12.2016
47.158431,9.70332,Goose,1,0,0,0,14.10.6501,Livestock,14.10.2016
47.712397,8.007208,Duck,0,0,1,0,21.08.6229,Livestock,21.08.2016
45.869392,7.531168,Chicken,1,0,0,0,10.08.6128,Livestock,10.08.2016
47.104481,9.175458,Chicken,,0,0,,16.11.7109,Livestock,16.11.2017
46.504808,10.224515,Eurasian Magpie,0,0,0,1,31.08.7196,Wild,31.08.2017
46.563897,6.345981,Blackbird,0,0,1,0,17.02.6146,Wild,17.02.2016
47.781851,9.637697,European Robin,0,1,0,0,27.04.7411,Wild,27.04.2017
46.270018,6.598903,House Sparrow,,0,,0,22.02.7343,Wild,22.02.2017
45.967969,6.97131,Chicken,0,0,1,0,3.02.6019,Livestock,3.02.2016
47.139174,6.285789,Blackbird,,,,0,24.08.6278,Wild,24.08.2016
47.733823,7.600712,Eurasian Magpie,1,0,0,0,22.02.6126,Wild,22.02.2016
46.314787,7.809154,Eurasian Magpie,0,0,1,0,7.11.6237,Wild,7.11.2016
47.253571,8.393747,Duck,0,0,0,0,4.05.7253,Livestock,4.05.2017
47.334012,7.099082,Common Chaffinch,0,0,0,1,10.02.6796,Wild,10.02.2016
46.663203,7.828057,Goose,1,0,0,0,2.02.6557,Livestock,2.02.2016
46.865284,8.819852,Chicken,0,0,0,1,22.06.6866,Livestock,22.06.2016
45.891609,8.698065,Chicken,1,0,0,0,14.12.5982,Livestock,14.12.2015
46.367071,7.401434,Blackbird,0,,,,21.01.6174,Wild,21.01.2016
46.453993,9.406757,Barn Swallow,0,0,,0,9.01.6821,Wild,9.01.2016
46.103579,6.526903,Chicken,1,0,0,0,22.01.6712,Livestock,22.01.2016
47.049707,6.875771,Barn Swallow,,,,,11.05.6462,Wild,11.05.2016
47.106372,8.339181,Eurasian Magpie,0,0,1,0,21.03.6262,Wild,21.03.2016
46.397586,6.643694,Duck,1,0,0,0,13.10.6383,Livestock,13.10.2016
47.238032,6.235717,Goose,0,0,0,1,4.09.6497,Livestock,4.09.2016
47.341546,6.037638,Turkey,0,1,0,0,10.11.6099,Livestock,10.11.2016
46.686982,8.737263,Great Tit,,,0,0,5.10.6144,Wild,5.10.2016
46.071422,6.611516,Blackbird,0,1,0,0,13.03.7263,Wild,13.03.2017
46.172883,10.294502,European Robin,,,,,17.01.7037,Wild,17.01.2017
46.119936,7.412782,Turkey,0,0,0,1,10.03.6722,Livestock,10.03.2016
47.363132,10.203512,Duck,0,0,1,0,26.01.6833,Livestock,26.01.2016
47.423067,10.104603,Blackbird,1,0,0,0,24.09.6066,Wild,24.09.2016
45.941408,8.227536,Duck,1,0,0,0,28.03.7016,Livestock,28.03.2017
47.567636,6.671854,Goose,1,0,0,0,21.01.6735,Livestock,21.01.2016
46.58503,10.348521,House Sparrow,0,1,0,0,21.03.6075,Wild,21.03.2016
45.986129,8.080167,Chicken,,0,0,0,13.06.6391,Livestock,13.06.2016
46.205586,6.768517,Goose,0,1,0,0,14.02.6589,Livestock,14.02.2016
47.795824,9.283315,Duck,0,0,1,0,7.12.7124,Livestock,7.12.2017
47.00916,10.256857,House Sparrow,1,0,0,0,26.04.6919,Wild,26.04.2016
46.833961,9.079994,Duck,0,1,0,0,7.02.6537,Livestock,7.02.2016
46.423398,9.83623,European Robin,,,0,0,31.07.6496,Wild,31.07.2016
47.031952,6.889338,Duck,0,,,0,7.12.6586,Livestock,7.12.2016
47.207631,7.86199,Turkey,,,0,0,26.11.6203,Livestock,26.11.2016
47.782686,10.459986,Common Chaffinch,1,0,0,0,14.08.6833,Wild,14.08.2016
46.341657,8.07035,House Sparrow,0,,0,0,20.07.6277,Wild,20.07.2016
45.996615,10.383616,Barn Swallow,0,0,1,0,21.07.7120,Wild,21.07.2017
47.509287,8.403868,Barn Swallow,0,0,0,1,5.03.6368,Wild,5.03.2016
46.146327,8.206926,Blackbird,,0,,,26.04.6755,Wild,26.04.2016
47.055969,7.075912,Goose,0,0,0,1,8.07.6245,Livestock,8.07.2016
47.716355,6.583976,European Robin,0,,,0,28.03.7180,Wild,28.03.2017
45.902054,6.005522,Blackbird,0,1,0,0,27.02.6434,Wild,27.02.2016
45.982232,8.291883,Turkey,0,0,,,5.04.6015,Livestock,5.04.2016
45.899716,6.537654,Chicken,0,0,1,0,10.03.6371,Livestock,10.03.2016
46.1267,9.935237,Chicken,1,0,0,0,10.03.6512,Livestock,10.03.2016
46.761369,10.228941,House Sparrow,0,0,,,25.03.7154,Wild,25.03.2017
47.51237,9.035931,Barn Swallow,1,0,0,0,15.10.6104,Wild,15.10.2016
47.21097,7.349509,Blackbird,0,1,0,0,17.09.6903,Wild,17.09.2016
47.494582,6.962573,Chicken,0,,0,0,27.07.6375,Livestock,27.07.2016
46.004691,6.926928,Goose,0,0,0,1,19.04.6985,Livestock,19.04.2016
47.421681,6.696506,Great Tit,,,0,,16.02.6379,Wild,16.02.2016
46.232249,8.77094,Turkey,1,0,0,0,13.06.6860,Livestock,13.06.2016
47.029745,8.552116,Chicken,0,,,0,14.04.7051,Livestock,14.04.2017
47.622906,8.907945,Duck,1,0,0,0,8.05.6577,Livestock,8.05.2016
46.950451,6.339051,House Sparrow,1,0,0,0,12.05.7282,Wild,12.05.2017
45.94636,6.598141,Turkey,0,0,1,0,27.10.7353,Livestock,27.10.2017
47.613697,9.869095,Barn Swallow,,0,0,0,6.03.7188,Wild,6.03.2017
47.624432,9.850419,Chicken,1,0,0,0,7.10.7315,Livestock,7.10.2017
47.697367,8.847158,Eurasian Blue Tit,0,0,1,0,5.10.6846,Wild,5.10.2016
47.659214,8.695373,Goose,0,1,0,0,10.08.6456,Livestock,10.08.2016
47.696068,10.481017,Chicken,,,0,,5.06.6713,Livestock,5.06.2016
46.544712,9.422046,Goose,,,0,,21.05.7147,Livestock,21.05.2017
46.19353,10.110978,Duck,,0,,0,23.06.6702,Livestock,23.06.2016
46.939758,6.659998,Blackbird,1,0,0,0,18.10.6527,Wild,18.10.2016
47.42612,8.488038,Duck,0,0,0,1,16.06.6253,Livestock,16.06.2016
47.76806,7.244223,Duck,0,0,1,0,19.12.7015,Livestock,19.12.2017
47.315469,7.574184,Duck,1,0,0,0,1.09.6097,Livestock,1.09.2016
47.12423,6.403222,Duck,0,1,0,0,4.12.6022,Livestock,4.12.2016
47.746106,10.177067,Barn Swallow,1,0,0,0,18.06.6371,Wild,18.06.2016
45.946136,10.121016,Duck,1,0,0,0,6.04.6999,Livestock,6.04.2016
46.52533,7.434347,Barn Swallow,,,0,0,31.07.6870,Wild,31.07.2016
45.974661,7.299588,Goose,0,0,1,0,25.09.6394,Livestock,25.09.2016
46.847832,5.986827,Eurasian Blue Tit,,,0,,20.05.7288,Wild,20.05.2017
46.541926,10.270897,Goose,0,0,1,0,2.09.7150,Livestock,2.09.2017
46.530072,10.120543,Turkey,1,0,0,0,21.11.6738,Livestock,21.11.2016
46.676678,8.116201,Barn Swallow,,,0,,26.02.6480,Wild,26.02.2016
46.076385,8.745583,European Robin,0,0,0,0,30.10.6372,Wild,30.10.2016
47.452729,6.041306,Chicken,0,0,1,0,4.03.6765,Livestock,4.03.2016
47.477359,9.52885,Common Chaffinch,0,0,0,1,19.07.7189,Wild,19.07.2017
47.323255,8.914268,Goose,0,0,,0,9.08.6735,Livestock,9.08.2016
47.575198,8.38027,Duck,0,1,0,0,24.01.7276,Livestock,24.01.2017
47.586587,6.830883,Eurasian Magpie,1,0,0,0,26.06.7384,Wild,26.06.2017
46.628348,8.486081,European Robin,0,1,0,0,5.10.6518,Wild,5.10.2016
46.216883,7.284623,House Sparrow,,0,,0,18.06.7050,Wild,18.06.2017
46.528113,6.689588,Turkey,1,0,0,0,9.11.6824,Livestock,9.11.2016
46.306701,8.001352,European Robin,0,0,1,0,19.05.7403,Wild,19.05.2017
46.593723,7.452371,Eurasian Blue Tit,0,0,1,0,26.07.7077,Wild,26.07.2017
45.983315,6.670562,Eurasian Magpie,1,0,0,0,11.03.6817,Wild,11.03.2016
46.509521,6.483968,Duck,0,0,0,1,18.01.6476,Livestock,18.01.2016
47.538188,6.121808,Chicken,0,1,0,0,22.10.6717,Livestock,22.10.2016
45.925754,8.701286,Goose,0,0,1,0,1.01.7002,Livestock,1.01.2017
45.892594,7.651561,House Sparrow,,,,0,7.01.7264,Wild,7.01.2017
46.132837,6.413725,Chicken,0,0,0,1,9.06.6178,Livestock,9.06.2016
46.896291,8.94544,Goose,1,0,0,0,20.01.6056,Livestock,20.01.2016
46.145285,8.834207,Goose,,0,0,,19.09.6952,Livestock,19.09.2016
46.501744,7.847809,Turkey,,,,,5.02.6816,Livestock,5.02.2016
46.98119,8.191086,Common Chaffinch,,0,0,,7.10.6052,Wild,7.10.2016
47.048977,6.371464,Blackbird,0,0,0,1,23.01.6456,Wild,23.01.2016
47.147575,7.859078,Common Chaffinch,0,0,1,0,14.08.7207,Wild,14.08.2017
46.935238,9.36528,Goose,0,0,0,1,15.11.6056,Livestock,15.11.2016
46.207824,10.320449,House Sparrow,1,0,0,0,8.03.6627,Wild,8.03.2016
46.807338,7.790036,Duck,0,0,0,,24.09.6604,Livestock,24.09.2016
46.537482,7.123541,Duck,0,,0,0,25.01.6036,Livestock,25.01.2016
47.685257,9.120167,House Sparrow,,0,0,,14.12.7012,Wild,14.12.2017
47.097755,9.760639,Turkey,0,0,1,0,5.02.6980,Livestock,5.02.2016
47.646946,8.154458,Goose,,,0,,18.07.6533,Livestock,18.07.2016
47.357497,9.872113,Eurasian Magpie,1,0,0,0,28.07.6985,Wild,28.07.2016
46.405924,8.000784,Duck,0,0,,0,26.10.6861,Livestock,26.10.2016
46.90833,7.570594,Turkey,0,0,0,0,12.02.6002,Livestock,12.02.2016
46.752839,9.612331,Duck,0,0,0,1,24.08.7144,Livestock,24.08.2017
46.077271,7.096309,Eurasian Magpie,0,0,0,1,27.03.7413,Wild,27.03.2017
46.710056,9.845411,European Robin,0,0,1,0,16.06.7096,Wild,16.06.2017
47.571322,10.145048,Goose,0,1,0,0,12.01.6752,Livestock,12.01.2016
46.197135,8.078828,Duck,0,0,1,0,2.10.7007,Livestock,2.10.2017
47.633672,7.135255,Turkey,,,0,,24.10.7281,Livestock,24.10.2017
46.48813,8.113251,Turkey,0,0,0,1,14.06.6509,Livestock,14.06.2016
47.629341,7.020351,Duck,0,0,1,0,15.08.6459,Livestock,15.08.2016
46.241376,6.64387,Eurasian Magpie,,,0,,17.07.6041,Wild,17.07.2016
46.818407,8.722957,Chicken,0,0,0,1,20.01.7086,Livestock,20.01.2017
47.608228,7.311443,Goose,0,0,1,0,28.02.6926,Livestock,28.02.2016
47.514645,5.99195,Turkey,0,1,0,0,31.05.6382,Livestock,31.05.2016
46.124988,9.675023,Great Tit,1,0,0,0,19.05.6140,Wild,19.05.2016
47.741117,8.551864,Duck,0,0,0,0,24.03.6662,Livestock,24.03.2016
45.860308,6.227756,Goose,0,0,1,0,18.04.6516,Livestock,18.04.2016
47.247742,7.290599,Chicken,0,0,0,0,4.11.6680,Livestock,4.11.2016
47.64398,6.565355,Eurasian Blue Tit,,,0,,8.08.6033,Wild,8.08.2016
47.024204,10.13831,Blackbird,1,0,0,0,4.11.6539,Wild,4.11.2016
47.601422,8.682971,Goose,,0,,,31.01.6298,Livestock,31.01.2016
